location,title,creator,album,tracNum
file:///___/SpeakToMe.mp3,Speak to Me,Pink Floyd,The Dark Side of the Moon,1
file:///___/Breathe.mp3,Breathe,Pink Floyd,The Dark Side of the Moon,2
file:///___/OnTheRun.mp3,On The Run,Pink Floyd,The Dark Side of the Moon,3
file:///___/Time.mp3,Time,Pink Floyd,The Dark Side of the Moon,4
file:///___/TheGreatGigInTheSky.mp3,The Great Gig in the Sky,Pink Floyd,The Dark Side of the Moon,5
file:///___/Money.mp3,Money,Pink Floyd,The Dark Side of the Moon,6
file:///___/UsAndThem.mp3,Us and Them,Pink Floyd,The Dark Side of the Moon,7
file:///___/AnyColourYouLike.mp3,Any Colour You Like,Pink Floyd,The Dark Side of the Moon,8
file:///___/BrainDamage.mp3,Brain Damage,Pink Floyd,The Dark Side of the Moon,9
file:///___/Eclipse.mp3,Eclipse,Pink Floyd,The Dark Side of the Moon,10
